Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17342.471939574487;16441.790636191578;16585.195530726258;17926.572836116542;19081.35165612498;19356.203389490074;20620.70062591748;20670.655663549293;20434.29943644769;20834.510199013097;22567.824924890763;23302.831988005502;24014.944267050098;25921.026051998022;27546.899389803446;24631.434860416688;24271.940420526666;25324.720362466935;;;;;;
Afghanistan;59.777326508393365;59.878152808947156;58.49287383234792;78.78275803628915;82.20844385944005;101.29047127416685;137.89936189695422;161.32200008848068;129.5066538442509;129.79854140837477;157.1874223892326;160.37283555415425;136.1170143811993;144.11031892926619;174.94203831953956;187.9756040137258;199.02617272905144;226.00534375930474;249.28738626179438;277.900741665078;274.88085870152054;266.49304180870485;;;;;;;;;;;;;;;;;;;;117.40969079495471;187.84509495538845;198.7285435522914;219.14135278546522;250.29412990949012;272.56307701814666;369.8357959698234;373.3611163000363;445.89329792374406;553.3002893830636;603.5370230624103;669.0090508880284;638.612543202424;629.3452503691453;569.5779229166999;561.7787462709305;585.8500637823702
Angola;;;;;;;;;;;;;;;;;;;;;664.117560200257;600.4087655413263;579.2520008970997;582.4201264980668;596.6024672420293;711.9927001047106;647.5633536859056;720.5989384879433;761.6184576625508;862.5090576578036;922.550169956192;844.6911343066248;640.6222978790647;430.38159527887336;320.65779202335665;388.1667663429629;512.6209658876722;506.8849521934432;419.639845318854;385.7688534728544;555.2969418633339;526.1687429968541;711.1817891617593;779.4683170118237;1041.0871092089988;1443.9919238107245;2062.4152121234115;2878.837305356229;3868.5790144600483;3347.8449003136598;3531.416878319621;4299.00813636005;4539.467689271502;4804.633825896123;4707.578097846643;3683.5526074127033;3308.772828455765;4170.312280249454
Albania;;;;;;;;;;;;;;;;;;;;;;;;;662.5200523095207;662.9147925675956;719.1572957039142;699.3842920866972;676.5667325200106;723.4096102378512;639.463899289892;348.7113177869815;218.49216590263268;380.5273710842754;619.0651634471387;760.5593757740928;1046.3585107075442;749.5846490146396;865.302161769888;1098.4254634067736;1175.7889807947079;1326.9703392980855;1453.6427765717483;1890.6815573351441;2416.588235051944;2709.14293061386;3005.012903318509;3603.0136853663794;4370.53964653148;4114.136544909452;4094.358831919176;4437.178068436079;4247.614308262459;4413.081696706007;4578.666727532592;3952.8307811658556;4131.872340652722;4537.862492447798
Andorra;;;;;;;;;;;3238.5568497732847;3498.1736515231987;4217.1735811425315;5342.168560442083;6319.739033848372;7169.101005595559;7152.375133610508;7751.37021575891;9129.706185180796;11820.84939283253;12377.411645687676;10372.232834745;9610.266308315746;8022.654781281613;7728.906694569428;7774.393829034777;10361.815982025491;12616.167565928967;14304.356964578457;15166.437850753999;18878.505969298814;19532.54015045248;20547.71178978965;16516.471027220377;16234.809010201208;18461.064858151207;19017.17459022409;18353.059721847323;18894.521496322668;19261.710503888586;21936.53010147081;22228.846492892182;24741.493570456154;32776.4422698769;38503.47961448565;41282.02012197852;43748.772158899934;48582.80845508659;47785.6590856793;43339.37987465426;39736.3540626699;41098.766941722766;38391.08086697853;40619.71129777953;42294.99472697166;36038.2676044596;37231.81567141542;39146.548836090544
Arab World;;;;;;;;;222.61952456499557;238.8353007193671;256.3410594220496;289.4548660636261;334.9793533342165;413.9684836263459;768.9506961797482;825.7461025045168;996.3442729886757;1114.0534179816727;1182.4590612631755;1549.7533704872112;2040.39601267874;2037.3007906335904;1837.087828150733;1669.5504555869586;1640.870233667975;1571.561422047985;1451.2718085413178;1525.2290806080027;1457.9792689974356;1486.3631032930502;1987.839701184043;1904.6160337737372;2004.009905349936;1974.2757754204056;1969.7023445517127;2052.1430328449146;2215.9349147626453;2299.151057245546;2169.789212894573;2313.789971421503;2588.7429027847866;2495.3663120256674;2462.791441608025;2721.6157208394616;3117.660805991446;3745.790930762118;4336.718583382566;4937.598216387542;6115.243746674771;5158.2505055007505;5917.245723873731;6854.84452602316;7463.399722510331;7508.57330127736;7452.814676505016;6413.377161179301;6151.180926852216;6251.1415751197965
United Arab Emirates;;;;;;;;;;;;;;;;26556.080029911005;29698.16922209931;33245.83609863739;27897.32709357724;32798.478233853835;41825.995457574034;44012.333067279025;39193.74097262791;34159.03735267071;31709.254334090536;29189.16778923041;23056.1045271808;23312.92952616129;21907.597977360492;23612.745196968364;27256.29094283517;26168.266623103555;25993.558007767042;25199.349577144643;25467.192219063458;26847.080053194964;28615.58214101264;29199.524610859036;26663.308704518564;28260.00501678284;33071.2686869422;31061.529345423485;31311.359356215224;33230.52318072911;36161.170606829124;39439.801967928426;42372.22166236575;42672.613229485716;45758.905535662714;33072.57516637189;35037.89267313216;40434.366350300115;42086.68995323302;43315.141492165334;44443.06151419412;39122.04970542719;38517.80038580293;40698.849336036765
Argentina;;;1148.579957066632;845.0771842022473;1166.3173995761626;1272.010496007964;1266.344988581511;1057.7556614712037;1136.5178322316679;1324.082934707008;1317.4877550266906;1366.354726494426;1401.487794543184;2083.972218128866;2824.650915188439;2011.6890403248785;1932.5907820740015;2112.50117336788;2129.313793112979;2501.4807528773595;2738.2847231849732;2756.3969813236213;2907.7576270115605;3530.131783141681;2643.369398131555;2909.5166101340615;3595.0858982316613;3546.718820155638;3969.327411662819;2375.3391027255543;4318.774699507727;5715.5043965730265;6798.026762729305;6940.350358069089;7449.480389772417;7373.428245682347;7683.574064837736;8172.664323061728;8248.761988643435;7736.369622540539;7669.273915540658;7170.69467365192;2579.193168212092;3330.437005835481;4251.5743481987265;5076.883829172896;5878.761027352075;7193.617639735218;8953.35927526277;8161.30696648652;10276.260497705338;12726.908359473056;12969.70712389689;12976.636424541097;12245.256448769624;13698.293438485662;12654.354998995825;14401.974854608086
Armenia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;637.8557411616305;590.1222257416058;369.63336812868414;357.2043398713672;400.5160918861432;456.37589975464533;504.05951404149386;523.2835690960031;609.1730253910074;597.433481734807;622.7427476879831;694.4305119322684;783.2616098699974;930.166156701539;1191.9619199070585;1643.7585429814499;2158.0029089545706;3138.8087034124796;4010.0269972269316;2993.8325310903333;3218.3816548846526;3526.978142676595;3684.804810326489;3843.591213093404;3994.712354795662;3617.9357455517584;3605.743116842559;3936.7983196528694
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8751.766528749724;8914.525432616676;8639.308855291576;8508.406914983592;8456.94799658994;8980.536414348135;9871.997194459056;12058.263823430025;10352.822761831156;10375.994215473609;11660.329531051962;11589.853002332437;11598.75173620506;11865.963231719394;11834.745229230739;
